##############################################
# Interactions between tree and fungal species
# Last row and column contain the sum of each
##############################################
;ABIEALB;ABIEGRA;ABIENOR;ACERGRA;ACERPET;ALNUGLU;BETUSPP;CARPBET;CASTSAT;CEDRATL;CUPRSEM;FAGUSIL;FRAXSPP;JUGLSPP;LARIDEC;LARIKAE;PICEEXC;PICESIT;PINUBRU;PINUCEM;PINUHAL;PINULAR;PINUNIG;PINUPINA;PINUPINE;PINURAD;PINUSTR;PINUSYL;PINUTAE;PINUUNC;PLATHYB;POPUCUL;POPUTRE;PRUNAVI;PSEUMEN;QUERILE;QUERPAT;QUERPUB;QUERPYR;QUERROB;QUERRUB;QUERSUB;SORBARI;SORBAUC;SORBDOM;SORBTOR;TAXABAC;THUJPLI;TILISPP;TSUGHET;ULMUSPP;NB_INTER_C
AMPHLEI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3
APIOERR;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;7
APIOVEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ARMICEP;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
ARMIGAL;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;20
ARMIMEL;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;20
ARMIOST;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
ASTETIL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
BISCMED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
BJERADU;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
BLUMJAA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOTRCIN;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;24
BOTRDOT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOTRSTE;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;14
CALIPIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CENAFER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
