AMPHLEI;canker agent
APIOERR;other foliar and twig necrotrophic parasite
APIOVEN;other foliar and twig necrotrophic parasite
ARMICEP;root decay fungi
ARMIGAL;root decay fungi
ARMIMEL;root decay fungi
ARMIOST;root decay fungi
ASTETIL;strict foliar necrotrophic parasite
BISCMED;canker agent
BJERADU;stem decay fungi
BLUMJAA;strict foliar necrotrophic parasite
BOTRCIN;other foliar and twig necrotrophic parasite
BOTRDOT;canker agent
BOTRSTE;canker agent
CALIPIN;canker agent
CENAFER;canker agent
CERAIPS;stem blue stain agent
CERAMIN;stem blue stain agent
CERAPLA;wilting agent
CHONPUR;stem decay fungi
CHRYABI;obligate biotrophic parasite
CHRYLED;obligate biotrophic parasite
COLETUS;obligate biotrophic parasite
COLPQUE;canker agent
CRISDEP;strict foliar necrotrophic parasite
CRONFLA;obligate biotrophic parasite
CRONQUE;obligate biotrophic parasite
CRONRIB;obligate biotrophic parasite
CRUMSOR;canker agent
CRYPCAS;canker agent
CRYPCOR;canker agent
CRYPHYA;strict foliar necrotrophic parasite
CRYPPAR;canker agent
CRYPPOP;canker agent
CYCLMIN;strict foliar necrotrophic parasite
CYCLNIV;strict foliar necrotrophic parasite
CYLIDID;other root fungi
DAEDCON;stem decay fungi
DELPABI;strict foliar necrotrophic parasite
DICADRY;strict foliar necrotrophic parasite
DISCCAS;canker agent
DREPPUN;other foliar and twig necrotrophic parasite
ENTOMAM;canker agent
EUTYLAT;canker agent
FISTHEP;stem decay fungi
FOMEFOM;stem decay fungi
FOMICYT;stem decay fungi
FOMIPIN;stem decay fungi
FUSAOXY;parasite of fine roots
FUSIQUE;canker agent
GANOADS;stem decay fungi
GANOAPP;stem decay fungi
GANORES;stem decay fungi
GNOMLEP;other foliar and twig necrotrophic parasite
GREMABI;other foliar and twig necrotrophic parasite
GYMNFUS;root decay fungi
HAEMHAE;parasite of fine roots
HERPJUN;strict foliar necrotrophic parasite
HETEANN;root decay fungi
HYPOFRA;stem decay fungi
LACHWIL;canker agent
LAETSUL;stem decay fungi
LEPTLUN;stem blue stain agent
LEPTPRO;other root fungi
LEUCPER;canker agent
LIRUMAC;strict foliar necrotrophic parasite
LIRUNER;strict foliar necrotrophic parasite
LOPHCON;strict foliar necrotrophic parasite
LOPHPIC;strict foliar necrotrophic parasite
LOPHPIN;strict foliar necrotrophic parasite
LOPHSED;strict foliar necrotrophic parasite
MELAALL;obligate biotrophic parasite
MELACAR;obligate biotrophic parasite
MELALAR;obligate biotrophic parasite
MELAMOD;canker agent
MELAPOP;obligate biotrophic parasite
MERIGIG;root decay fungi
MICRALP;obligate biotrophic parasite
MICRJUG;strict foliar necrotrophic parasite
MONOMON;strict foliar necrotrophic parasite
MYCOCAS;strict foliar necrotrophic parasite
MYCODEA;strict foliar necrotrophic parasite
MYCOMIC;strict foliar necrotrophic parasite
MYCOPIN;strict foliar necrotrophic parasite
NECTCIN;canker agent
NECTCOC;canker agent
NECTDIT;canker agent
NECTFUC;canker agent
NECTVEU;canker agent
NEONGAL;canker agent
OPHIPIC;stem blue stain agent
OPHISER;other root fungi
OPHIULM;wilting agent
OUDEMUC;stem decay fungi
OXYPPOP;stem decay fungi
PESTFUN;canker agent
PEZICIN;canker agent
PHACCON;canker agent
PHAEGAE;strict foliar necrotrophic parasite
PHAESCH;root decay fungi
PHELCHR;stem decay fungi
PHELHAR;stem decay fungi
PHELIGN;stem decay fungi
PHELPIN;stem decay fungi
PHELROB;stem decay fungi
PHLOACE;strict foliar necrotrophic parasite
PHOMJUN;canker agent
PHOMQUE;canker agent
PHYLACE;obligate biotrophic parasite
PHYLGUT;strict foliar necrotrophic parasite
PLEUOST;stem decay fungi
PLEUPSE;strict foliar necrotrophic parasite
PODOCLA;obligate biotrophic parasite
POLLRAD;other foliar and twig necrotrophic parasite
POLYSQU;stem decay fungi
PSEUDRY;root decay fungi
PUCCEPI;obligate biotrophic parasite
RHABPSE;strict foliar necrotrophic parasite
RHIZKAL;strict foliar necrotrophic parasite
RHIZMAC;strict foliar necrotrophic parasite
RHIZOUD;strict foliar necrotrophic parasite
RHIZUND;root decay fungi
RHYTACE;strict foliar necrotrophic parasite
ROSENEC;root decay fungi
SARERES;canker agent
SAWATUL;obligate biotrophic parasite
SCHICOM;stem decay fungi
SEIRCAR;canker agent
SEPTPOD;strict foliar necrotrophic parasite
SEPTQUE;strict foliar necrotrophic parasite
SIROSTR;strict foliar necrotrophic parasite
SPARCRI;root decay fungi
SPHASAP;canker agent
STEGPYR;stem decay fungi
STERHIR;stem decay fungi
STERSAN;stem decay fungi
STIGCAR;strict foliar necrotrophic parasite
SYDOPOL;other foliar and twig necrotrophic parasite
TAPHBET;obligate biotrophic parasite
TAPHCAE;obligate biotrophic parasite
TAPHCER;obligate biotrophic parasite
TAPHPOP;obligate biotrophic parasite
TITATRE;strict foliar necrotrophic parasite
TRAMGIB;stem decay fungi
TRAMVER;stem decay fungi
TRUNHAR;strict foliar necrotrophic parasite
VALSAMB;canker agent
VALSKUN;canker agent
VALSNIV;canker agent
VALSSOR;canker agent
VENTFRA;strict foliar necrotrophic parasite
VENTINA;strict foliar necrotrophic parasite
VERTDAH;wilting agent
ZYTHPIN;canker agent
