AMPHLEI;Amphiporthe leiphaemia
APIOERR;Apiognomonia errabunda
APIOVEN;Apiognomonia veneta
ARMICEP;Armillaria cepistipes
ARMIGAL;Armillaria gallica
ARMIMEL;Armillaria mellea
ARMIOST;Armillaria ostoyae
ASTETIL;Asteroma tiliae
BISCMED;Biscogniauxia mediterranea var. mediterranea
BJERADU;Bjerkandera adusta
BLUMJAA;Blumeriella jaapii
BOTRCIN;Botrytis cinerea (grouped with Botryotinia fuckeliana (anamorphic type))
BOTRDOT;Botryosphaeria dothidea
BOTRSTE;Botryosphaeria stevensii
CALIPIN;Caliciopsis pinea
CENAFER;Cenangium ferruginosum
CERAIPS;Ceratocystis ips
CERAMIN;Ceratocystis minor
CERAPLA;Ceratocystis platani
CHONPUR;Chondrostereum purpureum
CHRYABI;Chrysomyxa abietis
CHRYLED;Chrysomyxa ledi var. rhododendri
COLETUS;Coleosporium tussilaginis f.sp. senecionis-silvatici
COLPQUE;Colpoma quercinum
CRISDEP;Cristulariella depraedans
CRONFLA;Cronartium flaccidum
CRONQUE;Cronartium quercuum
CRONRIB;Cronartium ribicola
CRUMSOR;Crumenulopsis sororia
CRYPCAS;Cryptodiaporthe castanea
CRYPCOR;Cryptostroma corticale
CRYPHYA;Cryptodiaporthe hystrix
CRYPPAR;Cryphonectria parasitica
CRYPPOP;Cryptodiaporthe populea
CYCLMIN;Cyclaneusma minus
CYCLNIV;Cyclaneusma niveum
CYLIDID;Cylindrocarpon didymum
DAEDCON;Daedaleopsis confragosa
DELPABI;Delphinella abietis
DICADRY;Dicarpella dryina
DISCCAS;Discella castanea
DREPPUN;Drepanopeziza punctiformis
ENTOMAM;Entoleuca mammata
EUTYLAT;Eutypa lata
FISTHEP;Fistulina hepatica
FOMEFOM;Fomes fomentarius
FOMICYT;Fomitopsis cytisina
FOMIPIN;Fomitopsis pinicola
FUSAOXY;Fusarium oxysporum
FUSIQUE;Fusicoccum quercus
GANOADS;Ganoderma adspersum
GANOAPP;Ganoderma applanatum
GANORES;Ganoderma resinaceum
GNOMLEP;Gnomonia leptostyla
GREMABI;Gremmeniella abietina
GYMNFUS;Gymnopus fusipes
HAEMHAE;Haematonectria haematococca
HERPJUN;Herpotrichia juniperi
HETEANN;Heterobasidion annosum
HYPOFRA;Hypoxylon fragiforme
LACHWIL;Lachnellula willkommii
LAETSUL;Laetiporus sulphureus
LEPTLUN;Leptographium lundbergii
LEPTPRO;Leptographium procerum
LEUCPER;Leucostoma persoonii
LIRUMAC;Lirula macrospora
LIRUNER;Lirula nervisequia var. nervisequia
LOPHCON;Lophodermium conigenum
LOPHPIC;Lophodermium piceae
LOPHPIN;Lophodermium pinastri
LOPHSED;Lophodermium seditiosum
MELAALL;Melampsora allii-populina
MELACAR;Melampsorella caryophyllacearum
MELALAR;Melampsora laricis-populina
MELAMOD;Melanconis modonia
MELAPOP;Melampsora populnea
MERIGIG;Meripilus giganteus
MICRALP;Microsphaera alphitoides
MICRJUG;Microstroma juglandis
MONOMON;Monochaetia monochaeta
MYCOCAS;Mycosphaerella castaneicola
MYCODEA;Mycosphaerella dearnessii
MYCOMIC;Mycosphaerella microsora
MYCOPIN;Mycosphaerella pini
NECTCIN;Nectria cinnabarina
NECTCOC;Nectria coccinea (grouped with Cylindocarpon candidum (teleomorphic type))
NECTDIT;Nectria ditissima
NECTFUC;Nectria fuckeliana
NECTVEU;Nectria veuillotiana
NEONGAL;Neonectria galligena
OPHIPIC;Ophiostoma piceae
OPHISER;Ophiostoma serpens
OPHIULM;Ophiostoma ulmi (grouped with Ophiostoma novo-ulmi)
OUDEMUC;Oudemansiella mucida
OXYPPOP;Oxyporus populinus
PESTFUN;Pestalotiopsis funerea
PEZICIN;Pezicula cinnamomea
PHACCON;Phacidium coniferarum
PHAEGAE;Phaeocryptopus gaeumannii
PHAESCH;Phaeolus schweinitzii
PHELCHR;Phellinus chrysoloma
PHELHAR;Phellinus hartigii
PHELIGN;Phellinus igniarius
PHELPIN;Phellinus pini
PHELROB;Phellinus robustus
PHLOACE;Phloeospora aceris
PHOMJUN;Phomopsis juniperivora
PHOMQUE;Phomopsis quercella
PHYLACE;Phyllosticta aceris
PHYLGUT;Phyllactinia guttata
PLEUOST;Pleurotus ostreatus
PLEUPSE;Pleuroceras pseudoplatani
PODOCLA;Podosphaera clandestina var. aucupariae
POLLRAD;Pollaccia radiosa
POLYSQU;Polyporus squamosus
PSEUDRY;Pseudoinonotus dryadeus
PUCCEPI;Pucciniastrum epilobii
RHABPSE;Rhabdocline pseudotsugae
RHIZKAL;Rhizosphaera kalkhoffii
RHIZMAC;Rhizosphaera macrospora
RHIZOUD;Rhizosphaera oudemansii
RHIZUND;Rhizina undulata
RHYTACE;Rhytisma acerinum
ROSENEC;Rosellinia necatrix
SARERES;Sarea resinae
SAWATUL;Sawadaea tulasnei
SCHICOM;Schizophyllum commune
SEIRCAR;Seiridium cardinale
SEPTPOD;Septotis podophyllina
SEPTQUE;Septoria quercicola
SIROSTR;Sirococcus strobilinus
SPARCRI;Sparassis crispa
SPHASAP;Sphaeropsis sapinea
STEGPYR;Stegonsporium pyriforme
STERHIR;Stereum hirsutum
STERSAN;Stereum sanguinolentum
STIGCAR;Stigmina carpophila
SYDOPOL;Sydowia polyspora
TAPHBET;Taphrina betulina
TAPHCAE;Taphrina caerulescens
TAPHCER;Taphrina cerasi
TAPHPOP;Taphrina populina
TITATRE;Titaeosporina tremulae
TRAMGIB;Trametes gibbosa
TRAMVER;Trametes versicolor
TRUNHAR;Truncatella hartigii
VALSAMB;Valsa ambiens
VALSKUN;Valsa kunzei
VALSNIV;Valsa nivea
VALSSOR;Valsa sordida
VENTFRA;Venturia fraxini
VENTINA;Venturia inaequalis
VERTDAH;Verticillium dahliae
ZYTHPIN;Zythiostroma pinastri
