;AMPHLEI;APIOERR;APIOVEN;ARMICEP;ARMIGAL;ARMIMEL;ARMIOST;ASTETIL;BISCMED;BJERADU;BLUMJAA;BOTRCIN;BOTRDOT;BOTRSTE;CALIPIN;CENAFER;CERAIPS;CERAMIN;CERAPLA;CHONPUR;CHRYABI;CHRYLED;COLETUS;COLPQUE;CRISDEP;CRONFLA;CRONQUE;CRONRIB;CRUMSOR;CRYPCAS;CRYPCOR;CRYPHYA;CRYPPAR;CRYPPOP;CYCLMIN;CYCLNIV;CYLIDID;DAEDCON;DELPABI;DICADRY;DISCCAS;DREPPUN;ENTOMAM;EUTYLAT;FISTHEP;FOMEFOM;FOMICYT;FOMIPIN;FUSAOXY;FUSIQUE;GANOADS;GANOAPP;GANORES;GNOMLEP;GREMABI;GYMNFUS;HAEMHAE;HERPJUN;HETEANN;HYPOFRA;LACHWIL;LAETSUL;LEPTLUN;LEPTPRO;LEUCPER;LIRUMAC;LIRUNER;LOPHCON;LOPHPIC;LOPHPIN;LOPHSED;MELAALL;MELACAR;MELALAR;MELAMOD;MELAPOP;MERIGIG;MICRALP;MICRJUG;MONOMON;MYCOCAS;MYCODEA;MYCOMIC;MYCOPIN;NECTCIN;NECTCOC;NECTDIT;NECTFUC;NECTVEU;NEONGAL;OPHIPIC;OPHISER;OPHIULM;OUDEMUC;OXYPPOP;PESTFUN;PEZICIN;PHACCON;PHAEGAE;PHAESCH;PHELCHR;PHELHAR;PHELIGN;PHELPIN;PHELROB;PHLOACE;PHOMJUN;PHOMQUE;PHYLACE;PHYLGUT;PLEUOST;PLEUPSE;PODOCLA;POLLRAD;POLYSQU;PSEUDRY;PUCCEPI;RHABPSE;RHIZKAL;RHIZMAC;RHIZOUD;RHIZUND;RHYTACE;ROSENEC;SARERES;SAWATUL;SCHICOM;SEIRCAR;SEPTPOD;SEPTQUE;SIROSTR;SPARCRI;SPHASAP;STEGPYR;STERHIR;STERSAN;STIGCAR;SYDOPOL;TAPHBET;TAPHCAE;TAPHCER;TAPHPOP;TITATRE;TRAMGIB;TRAMVER;TRUNHAR;VALSAMB;VALSKUN;VALSNIV;VALSSOR;VENTFRA;VENTINA;VERTDAH;ZYTHPIN
AMPHLEI;3;3;0;0;2;3;0;0;0;1;0;3;0;3;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;3;0;0;1;2;3;0;1;2;0;0;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0
APIOERR;3;7;0;1;4;7;0;1;0;2;0;4;0;5;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;1;1;2;0;0;0;0;1;0;4;0;0;0;0;3;1;0;2;4;3;0;3;2;0;0;4;3;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;3;0;0;1;0;3;3;1;0;1;2;4;0;0;1;0;0;2;0;0;1;0;0;0;0;3;1;0;3;1;0;1;1;0;0;1;3;0;0;0;0;0;0;1;0;0;1;2;0;0;3;0;0;0;1;3;0;0;0;0;1;0;0;0;2;1;0;1;0;0;2;0;0;1;0
APIOVEN;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARMICEP;0;1;0;5;4;4;4;0;0;0;0;4;0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;1;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;0;0;0;1;0;0;0;3;1;0;0;2;0;1;0;0;1;0;0;1;0;0;1;0;1;0;3;1;2;1;1;0;1;1;0;0;0;0;1;0;3;1;0;3;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
ARMIGAL;2;4;0;4;20;15;8;0;0;3;1;14;1;10;0;0;0;0;1;2;1;1;0;2;2;0;0;0;0;1;1;1;2;1;1;1;0;2;1;2;1;1;1;3;3;1;1;3;4;2;1;1;1;1;0;3;7;2;11;1;1;4;0;1;2;1;2;0;2;0;1;1;4;2;1;0;1;3;1;1;1;0;0;2;5;4;2;1;1;3;7;0;0;1;1;2;3;1;1;5;1;1;1;3;2;1;0;2;1;1;1;1;1;1;1;2;3;1;5;3;5;1;2;2;1;1;4;0;1;2;2;1;8;1;4;3;1;8;0;0;1;1;1;1;2;2;2;3;1;2;1;1;3;1
ARMIMEL;3;7;0;4;15;20;8;1;0;3;1;13;1;10;1;2;1;1;1;3;1;1;2;2;1;2;0;0;2;1;1;1;3;1;0;2;1;2;1;4;1;1;1;3;3;1;1;4;6;3;0;3;2;1;0;5;6;2;10;1;0;4;1;3;2;1;2;2;2;2;2;1;3;1;1;2;1;5;1;3;1;1;1;2;5;4;2;1;1;2;8;2;0;1;1;3;3;1;1;6;1;1;1;3;3;1;0;3;1;0;1;1;1;1;1;3;2;1;4;3;4;2;1;2;1;1;4;0;1;3;2;1;7;1;5;3;1;7;0;1;1;1;1;2;2;2;2;1;1;3;0;1;1;1
ARMIOST;0;0;0;4;8;8;16;0;0;1;1;12;0;0;1;3;2;3;0;0;2;1;3;0;0;5;0;1;4;0;0;0;0;0;1;3;1;0;1;0;0;0;0;1;0;0;0;4;3;0;0;0;0;0;2;0;2;3;15;0;2;1;2;3;1;1;2;4;3;5;5;0;4;1;0;4;0;0;0;0;0;1;0;5;1;0;0;2;0;0;6;2;0;0;0;3;0;1;1;8;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;1;7;3;5;3;0;1;1;0;1;0;0;0;2;2;14;0;1;5;1;14;0;0;1;0;0;0;1;3;0;3;0;0;0;0;0;1
ASTETIL;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BISCMED;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BJERADU;1;2;0;0;3;3;1;0;0;3;0;2;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;1;1;0;1;1;3;0;0;1;0;0;1;1;1;2;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;2;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1
