;AMPHLEI;APIOERR;APIOVEN;ARMICEP;ARMIGAL;ARMIMEL;ARMIOST;ASTETIL;BISCMED;BJERADU;BLUMJAA;BOTRCIN;BOTRDOT;BOTRSTE;CALIPIN;CENAFER;CERAIPS;CERAMIN;CERAPLA;CHONPUR;CHRYABI;CHRYLED;COLETUS;COLPQUE;CRISDEP;CRONFLA;CRONQUE;CRONRIB;CRUMSOR;CRYPCAS;CRYPCOR;CRYPHYA;CRYPPAR;CRYPPOP;CYCLMIN;CYCLNIV;CYLIDID;DAEDCON;DELPABI;DICADRY;DISCCAS;DREPPUN;ENTOMAM;EUTYLAT;FISTHEP;FOMEFOM;FOMICYT;FOMIPIN;FUSAOXY;FUSIQUE;GANOADS;GANOAPP;GANORES;GNOMLEP;GREMABI;GYMNFUS;HAEMHAE;HERPJUN;HETEANN;HYPOFRA;LACHWIL;LAETSUL;LEPTLUN;LEPTPRO;LEUCPER;LIRUMAC;LIRUNER;LOPHCON;LOPHPIC;LOPHPIN;LOPHSED;MELAALL;MELACAR;MELALAR;MELAMOD;MELAPOP;MERIGIG;MICRALP;MICRJUG;MONOMON;MYCOCAS;MYCODEA;MYCOMIC;MYCOPIN;NECTCIN;NECTCOC;NECTDIT;NECTFUC;NECTVEU;NEONGAL;OPHIPIC;OPHISER;OPHIULM;OUDEMUC;OXYPPOP;PESTFUN;PEZICIN;PHACCON;PHAEGAE;PHAESCH;PHELCHR;PHELHAR;PHELIGN;PHELPIN;PHELROB;PHLOACE;PHOMJUN;PHOMQUE;PHYLACE;PHYLGUT;PLEUOST;PLEUPSE;PODOCLA;POLLRAD;POLYSQU;PSEUDRY;PUCCEPI;RHABPSE;RHIZKAL;RHIZMAC;RHIZOUD;RHIZUND;RHYTACE;ROSENEC;SARERES;SAWATUL;SCHICOM;SEIRCAR;SEPTPOD;SEPTQUE;SIROSTR;SPARCRI;SPHASAP;STEGPYR;STERHIR;STERSAN;STIGCAR;SYDOPOL;TAPHBET;TAPHCAE;TAPHCER;TAPHPOP;TITATRE;TRAMGIB;TRAMVER;TRUNHAR;VALSAMB;VALSKUN;VALSNIV;VALSSOR;VENTFRA;VENTINA;VERTDAH;ZYTHPIN
AMPHLEI;0;2;2;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;2;5;2;3;2;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
APIOERR;2;0;1;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;2;5;2;3;2;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
APIOVEN;2;1;0;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;2;5;2;3;2;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
ARMICEP;6;6;6;0;1;1;1;6;6;4;6;6;6;6;6;6;6;6;6;3;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;3;4;4;4;6;6;4;4;4;6;6;3;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
ARMIGAL;6;6;6;1;0;1;1;6;6;4;6;6;6;6;6;6;6;6;6;3;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;3;4;4;4;6;6;4;4;4;6;6;3;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
ARMIMEL;6;6;6;1;1;0;1;6;6;4;6;6;6;6;6;6;6;6;6;3;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;3;4;4;4;6;6;4;4;4;6;6;3;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
ARMIOST;6;6;6;1;1;1;0;6;6;4;6;6;6;6;6;6;6;6;6;3;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;3;4;4;4;6;6;4;4;4;6;6;3;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
ASTETIL;2;2;2;6;6;6;6;0;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;2;5;2;3;2;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
BISCMED;4;4;4;6;6;6;6;4;0;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;2;3;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;2;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;3;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;3;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;2;5;5;6;3;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;3;4;4;4;4;5;5;4;4
BJERADU;6;6;6;4;4;4;4;6;6;0;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;3;3;6;6;3;3;3;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
