ABIEALB;Abies alba
ABIEGRA;Abies grandis
ABIENOR;Abies nordmanniana
ACERGRA;Large Maples (Acer platanoides, Acer pseudoplatanus)
ACERPET;Small Maples (Acer campestre, Acer monspessulanum, Acer negundo, Acer opalus) 
ALNUGLU;Alnus glutinosa
BETUSPP;Betulus spp (Betula pendula, Betula pubescens) 
CARPBET;Carpinus betulus
CASTSAT;Castanea sativa
CEDRATL;Cedrus spp (Cedrus atlantica, Cedrus libani) 
CUPRSEM;Cupressus sempervirens
FAGUSIL;Fagus silvatica
FRAXSPP;Fraxinus spp (Fraxinus angustifolia, Fraxinus excelsior) 
JUGLSPP;Juglans spp (Juglans nigra, Juglans regia) 
LARIDEC;Larix decidua
LARIKAE;Larix kaempferi
PICEEXC;Picea excelsa
PICESIT;Picea sitchensis
PINUBRU;Pinus brutia (Pinus brutia, Pinus brutia eldarica)
PINUCEM;Pinus cembra
PINUHAL;Pinus halepensis
PINULAR;Pinus nigra laricio
PINUNIG;Pinus nigra nigra
PINUPINA;Pinus pinaster
PINUPINE;Pinus pinea
PINURAD;Pinus radiata
PINUSTR;Pinus strobus
PINUSYL;Pinus sylvestris
PINUTAE;Pinus taeda
PINUUNC;Pinus uncinata
PLATHYB;Platanus hybrida
POPUCUL;Cultivated Poplars (Populus trichocarpa, P. canescens, P.alba, P.nigra and their cultivated hybrids)
POPUTRE;Populus tremula
PRUNAVI;Prunus avium
PSEUMEN;Pseudotsuga menziesii
QUERILE;Quercus ilex
QUERPAT;Quercus petraea
QUERPUB;Quercus pubescens
QUERPYR;Quercus pyrenaica
QUERROB;Quercus robur
QUERRUB;Quercus rubra
QUERSUB;Quercus suber
SORBARI;Sorbus aria
SORBAUC;Sorbus aucuparia
SORBDOM;Sorbus domestica
SORBTOR;Sorbus torminalis
TAXABAC;Taxus baccata
THUJPLI;Thuja plicata
TILISPP;Tilia spp (Tilia platiphyllos, Tilia cordata) 
TSUGHET;Tsuga heterophylla
ULMUSPP;Ulmus spp (Ulmus minor, Ulmus laevis, Ulmus glabra) 
